SSID,BSSID,Channel,PWR,Distance,Auth,WPS,Manufacturer,Uptime,Beacons,Timestamp
Hidden,58:be:72:7f:70:24,6,-76,63.1,WPA2,N/A,Unknown,6d 17h 34m,00001a002f480000ea00cd6e0000000000028f09a000b400000080000000ffffffffffff58be727f702458be727f70246002...,2026-04-10T04:01:34.514008
AASR,48:4c:29:a6:b5:88,9,-70,31.62,WPA,N/A,Unknown,6d 17h 34m,00001a002f4800007704ce6e0000000000028f09a000ba00000080000000ffffffffffff484c29a6b588484c29a6b58830ad...,2026-04-10T04:01:34.589957
AASR,48:4c:29:a6:b5:88,9,-72,39.81,WPA,N/A,Unknown,6d 17h 34m,00001a002f4800000cb2b86e0000000000029409a000b800000080000000ffffffffffff484c29a6b588484c29a6b58840ad...,2026-04-10T04:01:34.670287
AASR,48:4c:29:a6:b5:88,9,-70,31.62,WPA,N/A,Unknown,6d 17h 34m,00001a002f480000e340ba6e0000000000029409a000ba00000080000000ffffffffffff484c29a6b588484c29a6b58850ad...,2026-04-10T04:01:34.788018
Hidden,58:be:72:7e:a0:c4,11,-74,50.12,WPA2,N/A,Unknown,5d 5h 59m,00001a002f480000c54fbb6e0000000000029409a000b600000080000000ffffffffffff58be727ea0c458be727ea0c41069...,2026-04-10T04:01:34.860188
Hidden,58:be:72:7e:a0:c4,11,-74,50.12,WPA2,N/A,Unknown,5d 5h 59m,00001a002f480000e3703f9b0000000000029409a000b600000080000000ffffffffffff58be727ea0c458be727ea0c42069...,2026-04-10T04:01:34.961923
Hidden,58:be:72:7e:a0:c4,11,-72,39.81,WPA2,N/A,Unknown,5d 5h 59m,00001a002f480000fb09419b0000000000029409a000b800000080000000ffffffffffff58be727ea0c458be727ea0c43069...,2026-04-10T04:01:35.070919
AASR,48:4c:29:a6:b5:88,9,-72,39.81,WPA,N/A,Unknown,6d 17h 34m,00001a002f4800009f87419b0000000000029909a000b800000080000000ffffffffffff484c29a6b588484c29a6b58880ad...,2026-04-10T04:01:35.087461
Nora,58:be:72:7f:6c:5c,11,-80,100.0,WPA,N/A,Unknown,6d 12h 52m,00001a002f480000a8d6c26e0000000000029909a000b000000080000000ffffffffffff58be727f6c5c58be727f6c5c0094...,2026-04-10T04:01:35.353898
Hidden,58:be:72:7e:a0:c4,11,-68,25.12,WPA2,N/A,Unknown,5d 5h 59m,00001a002f48000098a1627e0000000000029909a000bc00000080000000ffffffffffff58be727ea0c458be727ea0c46069...,2026-04-10T04:01:35.364440
AASR,48:4c:29:a6:b5:88,9,-76,63.1,WPA,N/A,Unknown,6d 17h 34m,00001a002f48000085e74a9b0000000000029e09a000b400000080000000ffffffffffff484c29a6b588484c29a6b588e0ad...,2026-04-10T04:01:35.693970
Hidden,58:be:72:7e:a0:c4,11,-70,31.62,WPA2,N/A,Unknown,5d 5h 59m,00001a002f480000845ec96e0000000000029e09a000ba00000080000000ffffffffffff58be727ea0c458be727ea0c4a069...,2026-04-10T04:01:35.764750
AASR,48:4c:29:a6:b5:88,9,-72,39.81,WPA,N/A,Unknown,6d 17h 34m,00001a002f4800007f774c9b0000000000029e09a000b800000080000000ffffffffffff484c29a6b588484c29a6b588f0ad...,2026-04-10T04:01:35.796314
Hidden,64:c3:94:14:79:7c,11,-82,125.89,WPA2,N/A,Unknown,0d 9h 4m,00001a002f4800005b17cb6e0000000000029e09a000ae00000080000000ffffffffffff64c39414797c64c39414797c50a8...,2026-04-10T04:01:35.878500
Hidden,58:be:72:7e:a0:c4,11,-70,31.62,WPA2,N/A,Unknown,5d 5h 59m,00001a002f480000c3b0139c0000000000029e09a000ba00000080000000ffffffffffff58be727ea0c458be727ea0c4c069...,2026-04-10T04:01:35.971352
Nora,58:be:72:7f:6c:5c,11,-76,63.1,WPA,N/A,Unknown,6d 12h 52m,00001a002f480000d75c509b000000000002a309a000b400000080000000ffffffffffff58be727f6c5c58be727f6c5c7094...,2026-04-10T04:01:36.052511
Hidden,58:be:72:7e:a0:c4,11,-68,25.12,WPA2,N/A,Unknown,5d 5h 59m,00001a002f480000da1a6f7e000000000002a309a000bc00000080000000ffffffffffff58be727ea0c458be727ea0c4e069...,2026-04-10T04:01:36.200134
Nora,58:be:72:7f:6c:5c,11,-76,63.1,WPA,N/A,Unknown,6d 12h 52m,00001a002f480000989d569b000000000002a309a000b400000080000000ffffffffffff58be727f6c5c58be727f6c5cb094...,2026-04-10T04:01:36.479600
Hidden,58:be:72:7e:a0:c4,11,-68,25.12,WPA2,N/A,Unknown,5d 5h 59m,00001a002f48000043cd737e000000000002a309a000bc00000080000000ffffffffffff58be727ea0c458be727ea0c4106a...,2026-04-10T04:01:36.498897
Hidden,58:be:72:7e:a0:c4,11,-74,50.12,WPA2,N/A,Unknown,5d 5h 59m,00001a002f480000819b5b9b000000000002a809a000b600000080000000ffffffffffff58be727ea0c458be727ea0c4406a...,2026-04-10T04:01:36.790594
WE_EDF20C,20:e8:82:ed:f2:0c,1,-58,7.94,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 14m,00001a002f48000058f8609b0000000000026c09a000c600000080000000ffffffffffff20e882edf20c20e882edf20c80f2...,2026-04-10T04:01:37.146244
IL-410TD-A_A26DF,24:79:ef:2a:26:e0,1,-78,79.43,WPA,N/A,Unknown,0d 7h 10m,00001a002f48000023f6aee00000000000026c09a000b200000080000000ffffffffffff2479ef2a26e02479ef2a26e0d046...,2026-04-10T04:01:37.181914
WE_EDF20C,20:e8:82:ed:f2:0c,1,-58,7.94,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 14m,00001a002f4800000081e4040000000000026c09a000c600000080000000ffffffffffff20e882edf20c20e882edf20c90f2...,2026-04-10T04:01:37.246327
WE_EDF20C,20:e8:82:ed:f2:0c,1,-60,10.0,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 14m,00001a002f480000cbd0b1e00000000000026c09a000c400000080000000ffffffffffff20e882edf20c20e882edf20ca0f2...,2026-04-10T04:01:37.344496
WE_EDF20C,20:e8:82:ed:f2:0c,1,-60,10.0,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 14m,00001a002f480000cb60b3e00000000000026c09a000c400000080000000ffffffffffff20e882edf20c20e882edf20cb0f2...,2026-04-10T04:01:37.447237
IL-410TD-A_A26DF,24:79:ef:2a:26:e0,1,-78,79.43,WPA,N/A,Unknown,0d 7h 10m,00001a002f4800005af5b3e00000000000026c09a000b200000080000000ffffffffffff2479ef2a26e02479ef2a26e00047...,2026-04-10T04:01:37.489058
Hidden,60:9b:b4:2b:50:3c,2,-74,50.12,WPA2,N/A,Unknown,1d 12h 27m,00001a002f48000080d1e8040000000000027109a000b600000080000000ffffffffffff609bb42b503c609bb42b503c10a0...,2026-04-10T04:01:37.527632
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 14m,00001a002f480000987cab8e0000000000027109a000c000000080000000ffffffffffff20e882edf20c20e882edf20cd0f2...,2026-04-10T04:01:37.652351
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 14m,00001a002f480000cb10b8e00000000000027109a000c000000080000000ffffffffffff20e882edf20c20e882edf20ce0f2...,2026-04-10T04:01:37.753850
Hidden,60:9b:b4:2b:50:3c,2,-76,63.1,WPA2,N/A,Unknown,1d 12h 27m,00001a002f48000019d5bae00000000000027109a000b400000080000000ffffffffffff609bb42b503c609bb42b503c50a0...,2026-04-10T04:01:37.946565
WE_EDF20C,20:e8:82:ed:f2:0c,1,-62,12.59,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 14m,00001a002f480000f731b08e0000000000027609a000c200000080000000ffffffffffff20e882edf20c20e882edf20c00f3...,2026-04-10T04:01:37.964412
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 14m,00001a002f4800001dc6bce00000000000027609a000c000000080000000ffffffffffff20e882edf20c20e882edf20c10f3...,2026-04-10T04:01:38.070678
Hidden,60:9b:b4:2b:50:3c,2,-74,50.12,WPA2,N/A,Unknown,1d 12h 27m,00001a002f4800001e15c1e00000000000027609a000b600000080000000ffffffffffff609bb42b503c609bb42b503c90a0...,2026-04-10T04:01:38.347266
WE_EDF20C,20:e8:82:ed:f2:0c,1,-64,15.85,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 14m,00001a002f480000936cb68e0000000000027609a000c000000080000000ffffffffffff20e882edf20c20e882edf20c40f3...,2026-04-10T04:01:38.368019
Hidden,58:be:72:7f:70:24,6,-70,31.62,WPA2,N/A,Unknown,6d 17h 34m,00001a002f480000325dc3e00000000000027b09a000ba00000080000000ffffffffffff58be727f702458be727f70240005...,2026-04-10T04:01:38.505389
Hidden,60:9b:b4:2b:50:3c,2,-72,39.81,WPA2,N/A,Unknown,1d 12h 27m,00001a002f480000e3f40d6f0000000000027b09a000b800000080000000ffffffffffff609bb42b503c609bb42b503cd0a0...,2026-04-10T04:01:38.768927
Hidden,58:be:72:7f:70:24,6,-68,25.12,WPA2,N/A,Unknown,6d 17h 34m,00001a002f48000029b9c18e0000000000028009a000bc00000080000000ffffffffffff58be727f702458be727f70247005...,2026-04-10T04:01:39.123659
Hidden,58:be:72:7f:70:24,6,-74,50.12,WPA2,N/A,Unknown,6d 17h 34m,00001a002f48000098e1146f0000000000028009a000b600000080000000ffffffffffff58be727f702458be727f70248005...,2026-04-10T04:01:39.223245
Hidden,58:be:72:7f:70:24,6,-64,15.85,WPA2,N/A,Unknown,6d 17h 34m,00001a002f48000048d11f6f0000000000028509a000c000000080000000ffffffffffff58be727f702458be727f70240006...,2026-04-10T04:01:39.960256
AASR,48:4c:29:a6:b5:88,9,-74,50.12,WPA,N/A,Unknown,6d 17h 34m,00001a002f4800007e64226f0000000000028a09a000b600000080000000ffffffffffff484c29a6b588484c29a6b58890b0...,2026-04-10T04:01:40.103226
AASR,48:4c:29:a6:b5:88,9,-74,50.12,WPA,N/A,Unknown,6d 17h 34m,00001a002f480000eaa00e6f0000000000028a09a000b600000080000000ffffffffffff484c29a6b588484c29a6b588b0b0...,2026-04-10T04:01:40.319403
Hidden,58:be:72:7f:70:24,6,-68,25.12,WPA2,N/A,Unknown,6d 17h 34m,00001a002f480000352e0f6f0000000000028a09a000bc00000080000000ffffffffffff58be727f702458be727f70244006...,2026-04-10T04:01:40.343205
AASR,48:4c:29:a6:b5:88,9,-74,50.12,WPA,N/A,Unknown,6d 17h 34m,00001a002f48000050342a6f0000000000028f09a000b600000080000000ffffffffffff484c29a6b588484c29a6b588e0b0...,2026-04-10T04:01:40.616346
AASR,48:4c:29:a6:b5:88,9,-68,25.12,WPA,N/A,Unknown,6d 17h 34m,00001a002f480000e2e0146f0000000000028f09a000bc00000080000000ffffffffffff484c29a6b588484c29a6b588f0b0...,2026-04-10T04:01:40.729323
AASR,48:4c:29:a6:b5:88,9,-76,63.1,WPA,N/A,Unknown,6d 17h 34m,00001a002f4800000071166f0000000000028f09a000b400000080000000ffffffffffff484c29a6b588484c29a6b58800b1...,2026-04-10T04:01:40.832141
Hidden,58:be:72:7f:70:24,6,-82,125.89,WPA2,N/A,Unknown,6d 17h 34m,00001a002f480000e81d1a6f0000000000029409a000ae00000080000000ffffffffffff58be727f702458be727f7024c006...,2026-04-10T04:01:41.078031
Hidden,58:be:72:7e:a0:c4,11,-72,39.81,WPA2,N/A,Unknown,5d 5h 59m,00001a002f480000e07d316f0000000000029409a000b800000080000000ffffffffffff58be727ea0c458be727ea0c4e06c...,2026-04-10T04:01:41.103329
AASR,48:4c:29:a6:b5:88,9,-66,19.95,WPA,N/A,Unknown,6d 17h 34m,00001a002f480000b6b79d9b0000000000029409a000be00000080000000ffffffffffff484c29a6b588484c29a6b58830b1...,2026-04-10T04:01:41.121574
AASR,48:4c:29:a6:b5:88,9,-72,39.81,WPA,N/A,Unknown,6d 17h 34m,00001a002f480000eab01c6f0000000000029409a000b800000080000000ffffffffffff484c29a6b588484c29a6b58840b1...,2026-04-10T04:01:41.244203
AASR,48:4c:29:a6:b5:88,9,-70,31.62,WPA,N/A,Unknown,6d 17h 34m,00001a002f480000f2401e6f0000000000029409a000ba00000080000000ffffffffffff484c29a6b588484c29a6b58850b1...,2026-04-10T04:01:41.342181
Hidden,58:be:72:7e:a0:c4,11,-72,39.81,WPA2,N/A,Unknown,5d 5h 59m,00001a002f480000e64c1f6f0000000000029409a000b800000080000000ffffffffffff58be727ea0c458be727ea0c4106d...,2026-04-10T04:01:41.415389
AASR,48:4c:29:a6:b5:88,9,-76,63.1,WPA,N/A,Unknown,6d 17h 34m,00001a002f48000095a7a89b0000000000029909a000b400000080000000ffffffffffff484c29a6b588484c29a6b588a0b1...,2026-04-10T04:01:41.853126
Hidden,58:be:72:7e:a0:c4,11,-68,25.12,WPA2,N/A,Unknown,5d 5h 59m,00001a002f480000471a276f0000000000029909a000bc00000080000000ffffffffffff58be727ea0c458be727ea0c4606d...,2026-04-10T04:01:41.914664
AASR,48:4c:29:a6:b5:88,9,-68,25.12,WPA,N/A,Unknown,6d 17h 34m,00001a002f4800008e37aa9b0000000000029909a000bc00000080000000ffffffffffff484c29a6b588484c29a6b588b0b1...,2026-04-10T04:01:41.956230
AASR,48:4c:29:a6:b5:88,9,-74,50.12,WPA,N/A,Unknown,6d 17h 34m,00001a002f480000ebc02a6f0000000000029e09a000b600000080000000ffffffffffff484c29a6b588484c29a6b588d0b1...,2026-04-10T04:01:42.156835
Hidden,58:be:72:7e:a0:c4,11,-72,39.81,WPA2,N/A,Unknown,5d 5h 59m,00001a002f4800006ece2b6f0000000000029e09a000b800000080000000ffffffffffff58be727ea0c458be727ea0c4906d...,2026-04-10T04:01:42.216750
AASR,48:4c:29:a6:b5:88,9,-76,63.1,WPA,N/A,Unknown,6d 17h 34m,00001a002f48000092e7ae9b0000000000029e09a000b400000080000000ffffffffffff484c29a6b588484c29a6b588e0b1...,2026-04-10T04:01:42.247708
Hidden,58:be:72:7e:a0:c4,11,-70,31.62,WPA2,N/A,Unknown,5d 5h 59m,00001a002f480000425f2d6f0000000000029e09a000ba00000080000000ffffffffffff58be727ea0c458be727ea0c4a06d...,2026-04-10T04:01:42.318598
Hidden,58:be:72:7e:a0:c4,11,-70,31.62,WPA2,N/A,Unknown,5d 5h 59m,00001a002f480000ecc0b79b000000000002a309a000ba00000080000000ffffffffffff58be727ea0c458be727ea0c4f06d...,2026-04-10T04:01:42.851426
Hidden,58:be:72:7e:a0:c4,11,-74,50.12,WPA2,N/A,Unknown,5d 5h 59m,00001a002f4800003105be9b000000000002a809a000b600000080000000ffffffffffff58be727ea0c458be727ea0c4306e...,2026-04-10T04:01:43.240643
Hidden,58:be:72:7e:a0:c4,11,-74,50.12,WPA2,N/A,Unknown,5d 5h 59m,,2026-04-10T04:01:43.458562
Hidden,60:9b:b4:2b:50:3c,2,-68,25.12,WPA2,N/A,Unknown,1d 12h 27m,00001a002f4800009810c39b0000000000026c09a000bc00000080000000ffffffffffff609bb42b503c609bb42b503cc0a3...,2026-04-10T04:01:43.570743
WE_EDF20C,20:e8:82:ed:f2:0c,1,-58,7.94,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 14m,00001a002f4800004d36068f0000000000026c09a000c600000080000000ffffffffffff20e882edf20c20e882edf20c70f6...,2026-04-10T04:01:43.597132
WE_EDF20C,20:e8:82:ed:f2:0c,1,-58,7.94,WPA2,V1.0 (PBC/PIN),Unknown,0d 2h 14m,00001a002f480000aacb12e10000000000026c09a000c600000080000000ffffffffffff20e882edf20c20e882edf20c80f6...,2026-04-10T04:01:43.713671
